lambda,Psi,Delta,n_S,k_S
400,46.37529564376924,-84.15220032011088,5.6265,0.3301
401,46.664589851392904,-84.01492968348907,5.5946,0.3182
402,46.97021895816496,-83.85139871268142,5.5637,0.307
403,47.28011441903486,-83.679194302231,5.5337,0.2965
404,47.59496817321641,-83.49915001569194,5.5046,0.2866
405,47.901654003994736,-83.33080800908957,5.4763,0.2772
406,48.225521375937944,-83.13513762250135,5.4488,0.2684
407,48.55417153191846,-82.93039691263098,5.4221,0.26
408,48.88734133423253,-82.71696385751456,5.3961,0.2521
409,49.22551822725209,-82.49603304136181,5.3709,0.2446
410,49.55543306482136,-82.2884963729955,5.3463,0.2374
411,49.90322404786346,-82.05076315655042,5.3223,0.2306
412,50.25599593040494,-81.8037209020358,5.299,0.2241
413,50.60026618822799,-81.57326656983633,5.2763,0.218
414,50.96314566371261,-81.30970203412852,5.2541,0.2121
415,51.331096163710384,-81.03656470191692,5.2325,0.2065
416,51.704129139217436,-80.75496669898784,5.2114,0.2011
417,52.067764749315245,-80.49141723137599,5.1908,0.1959
418,52.45085042767611,-80.19203968014855,5.1707,0.191
419,52.8396988961955,-79.88255223238566,5.1511,0.1863
420,53.21803404270115,-79.59406204353147,5.1319,0.1817
421,53.61666168421579,-79.26536905310977,5.1131,0.1774
422,54.02083764600132,-78.92813355487044,5.0948,0.1732
423,54.41416923392301,-78.61143023137146,5.0768,0.1692
424,54.828474598466606,-78.25469160892287,5.0593,0.1653
425,55.24816426796592,-77.88592304284096,5.0421,0.1616
426,55.65606489075703,-77.54010709686098,5.0253,0.158
427,56.08573481159244,-77.15046557385884,5.0089,0.1545
428,56.52051189684479,-76.75040427718324,4.9927,0.1512
429,56.943437836480385,-76.37305780839772,4.9769,0.148
430,57.38780516552192,-75.94887291745208,4.9615,0.1449
431,57.83742093326561,-75.51228490855483,4.9463,0.1418
432,58.274463112822446,-75.09984525725615,4.9314,0.1389
433,58.73343901345182,-74.63857536603277,4.9168,0.1361
434,59.197222827514935,-74.16178731131987,4.9025,0.1334
435,59.64739450015967,-73.71178799451295,4.8884,0.1308
436,60.12025292105451,-73.20625796359101,4.8747,0.1282
437,60.57928071379078,-72.73046982430967,4.8611,0.1257
438,61.06019558259207,-72.1932423478926,4.8478,0.1233
439,61.54554265757993,-71.63916902540119,4.8348,0.121
440,62.01631734713085,-71.11644211688883,4.822,0.1187
441,62.50940051285021,-70.52697404735989,4.8094,0.1165
442,62.987045673522076,-69.96769778932556,4.797,0.1144
443,63.486901363089686,-69.34090799325709,4.7849,0.1123
444,63.97103721658843,-68.74363910689445,4.7729,0.1103
445,64.47669251211885,-68.07168658189717,4.7612,0.1083
446,64.9854408783117,-67.37595939753137,4.7496,0.1064
447,65.47738445656627,-66.7124977742427,4.7382,0.1046
448,65.99036249873744,-65.96372510817106,4.7271,0.1028
449,66.48646089301899,-65.25029194814095,4.7161,0.101
450,67.00295254049664,-64.44465773770128,4.7053,0.0993
451,67.50131231512523,-63.67444722875861,4.6946,0.0976
452,68.01999396094759,-62.804736101545174,4.6841,0.096
453,68.52033674146206,-61.966397845085915,4.6738,0.0944
454,69.03968600508209,-61.02391098265079,4.6636,0.0929
455,69.54010992529913,-60.11270056667952,4.6536,0.0914
456,70.05772515197445,-59.084429999181516,4.6438,0.0899
457,70.57352102403514,-58.00864739590188,4.6341,0.0885
458,71.0701528503882,-56.96630770628752,4.6245,0.0871
459,71.58176029907119,-55.78593078452331,4.6151,0.0857
460,72.07359367535867,-54.63787852844163,4.6058,0.0844
461,72.57840550221358,-53.340059733485035,4.5967,0.0831
462,73.06198558365915,-52.06996874170723,4.5877,0.0818
463,73.55710155131953,-50.63364031442815,4.5788,0.0806
464,74.03025420379308,-49.22611836895547,4.57,0.0793
465,74.51132547199302,-47.630373286351755,4.5614,0.0782
466,74.96963788982399,-46.061142262484715,4.5529,0.077
467,75.43344733985602,-44.28227735107908,4.5445,0.0759
468,75.87452534974659,-42.52659747246553,4.5362,0.0747
469,76.30390914887128,-40.67377595740363,4.528,0.0737
470,76.73277622395823,-38.57633001390666,4.52,0.0726
471,77.13745376330682,-36.49828069576354,4.512,0.0715
472,77.5348826514798,-34.153464123650785,4.5042,0.0705
473,77.90700991252584,-31.82758441252672,4.4964,0.0695
474,78.26797685928274,-29.210209497870913,4.4888,0.0685
475,78.60074752453555,-26.61805530248267,4.4812,0.0676
476,78.91683541241969,-23.715450983938734,4.4738,0.0666
477,79.20372153539874,-20.847891605509922,4.4664,0.0657
478,79.4667451769522,-17.669576811332384,4.4592,0.0648
479,79.69966616234152,-14.533654800907367,4.452,0.0639
