Lambda,Psi,Delta
400,52.482,-75.536
401,52.907,-75.554
402,53.338,-75.572
403,53.773,-75.588
404,54.212,-75.604
405,54.656,-75.618
406,55.105,-75.63
407,55.558,-75.641
408,56.015,-75.651
409,56.478,-75.658
410,56.944,-75.663
411,57.416,-75.665
412,57.891,-75.665
413,58.372,-75.661
414,58.856,-75.655
415,59.345,-75.644
416,59.838,-75.63
417,60.336,-75.611
418,60.837,-75.588
419,61.343,-75.56
420,61.853,-75.526
421,62.367,-75.487
422,62.885,-75.441
423,63.406,-75.388
424,63.931,-75.328
425,64.46,-75.26
426,64.993,-75.184
427,65.529,-75.098
428,66.068,-75.002
429,66.61,-74.895
430,67.155,-74.777
431,67.703,-74.645
432,68.254,-74.5
433,68.807,-74.34
434,69.363,-74.164
435,69.921,-73.97
436,70.481,-73.756
437,71.042,-73.521
438,71.606,-73.263
439,72.17,-72.98
440,72.736,-72.669
441,73.303,-72.326
442,73.87,-71.95
443,74.437,-71.536
444,75.005,-71.079
445,75.572,-70.576
446,76.138,-70.02
447,76.703,-69.405
448,77.267,-68.723
449,77.829,-67.966
450,78.387,-67.123
451,78.943,-66.183
452,79.494,-65.129
453,80.041,-63.946
454,80.582,-62.613
455,81.115,-61.104
456,81.64,-59.39
457,82.155,-57.435
458,82.657,-55.196
459,83.144,-52.62
460,83.613,-49.646
461,84.059,-46.204
462,84.478,-42.212
463,84.862,-37.591
464,85.205,-32.264
465,85.497,-26.187
466,85.73,-19.371
467,85.892,-11.915
468,85.978,-4.0207
469,85.983,4.0185
470,85.907,11.879
471,85.757,19.276
472,85.541,26.018
473,85.269,32.016
474,84.951,37.269
475,84.597,41.825
476,84.213,45.76
477,83.808,49.157
478,83.384,52.094
479,82.947,54.642
480,82.5,56.86
481,82.046,58.801
482,81.585,60.505
483,81.121,62.009
484,80.654,63.342
485,80.186,64.528
486,79.717,65.588
487,79.248,66.537
488,78.78,67.391
489,78.313,68.161
490,77.847,68.858
491,77.384,69.49
492,76.923,70.065
493,76.465,70.588
494,76.009,71.067
495,75.557,71.504
496,75.107,71.904
497,74.662,72.272
498,74.219,72.61
499,73.78,72.921
500,73.345,73.207
501,72.914,73.471
502,72.487,73.715
503,72.064,73.94
504,71.644,74.148
505,71.229,74.34
506,70.818,74.518
507,70.41,74.683
508,70.007,74.836
509,69.608,74.977
510,69.214,75.108
511,68.823,75.229
512,68.437,75.341
513,68.054,75.445
514,67.676,75.541
515,67.302,75.63
516,66.932,75.712
517,66.566,75.788
518,66.205,75.858
519,65.847,75.923
520,65.493,75.983
521,65.144,76.038
522,64.798,76.089
523,64.457,76.135
524,64.119,76.178
525,63.785,76.216
526,63.455,76.252
527,63.129,76.284
528,62.807,76.314
529,62.488,76.34
530,62.174,76.364
531,61.863,76.386
532,61.555,76.405
533,61.252,76.422
534,60.952,76.437
535,60.655,76.45
536,60.362,76.461
537,60.073,76.471
538,59.786,76.479
539,59.504,76.485
540,59.224,76.49
541,58.948,76.494
542,58.676,76.497
543,58.406,76.498
544,58.14,76.499
545,57.877,76.498
546,57.616,76.497
547,57.36,76.495
548,57.106,76.492
549,56.855,76.488
550,56.607,76.483
551,56.362,76.478
552,56.12,76.473
553,55.88,76.466
554,55.644,76.459
555,55.41,76.452
556,55.179,76.444
557,54.951,76.436
558,54.725,76.428
559,54.502,76.419
560,54.282,76.41
561,54.064,76.401
562,53.848,76.391
563,53.635,76.382
564,53.425,76.372
565,53.217,76.362
566,53.011,76.351
567,52.808,76.341
568,52.607,76.33
569,52.408,76.32
570,52.212,76.309
571,52.017,76.299
572,51.825,76.288
573,51.635,76.277
574,51.448,76.267
575,51.262,76.256
576,51.078,76.246
577,50.896,76.235
578,50.717,76.225
579,50.539,76.214
580,50.363,76.204
581,50.189,76.194
582,50.018,76.184
583,49.847,76.174
584,49.679,76.164
585,49.513,76.154
586,49.348,76.145
587,49.185,76.135
588,49.024,76.126
589,48.864,76.117
590,48.707,76.108
591,48.55,76.099
592,48.396,76.091
593,48.243,76.082
594,48.092,76.074
595,47.942,76.066
596,47.794,76.058
597,47.647,76.051
598,47.502,76.043
599,47.358,76.036
600,47.216,76.029
601,47.075,76.023
602,46.935,76.016
603,46.797,76.01
604,46.661,76.004
605,46.525,75.998
606,46.391,75.992
607,46.259,75.987
608,46.127,75.982
609,45.997,75.977
610,45.868,75.972
611,45.741,75.968
612,45.614,75.964
613,45.489,75.96
614,45.365,75.957
615,45.243,75.953
616,45.121,75.95
617,45,75.947
618,44.881,75.945
619,44.763,75.942
620,44.646,75.94
621,44.53,75.938
622,44.415,75.937
623,44.301,75.935
624,44.188,75.934
625,44.076,75.933
626,43.965,75.933
627,43.855,75.932
628,43.746,75.932
629,43.638,75.932
630,43.531,75.933
631,43.425,75.933
632,43.32,75.934
633,43.216,75.936
634,43.112,75.937
635,43.01,75.939
636,42.909,75.941
637,42.808,75.943
638,42.708,75.945
639,42.609,75.948
640,42.511,75.951
641,42.414,75.954
642,42.317,75.957
643,42.222,75.961
644,42.127,75.965
645,42.033,75.969
646,41.939,75.973
647,41.847,75.978
648,41.755,75.983
649,41.664,75.988
650,41.574,75.993
651,41.484,75.999
652,41.395,76.004
653,41.307,76.01
654,41.219,76.017
655,41.133,76.023
656,41.046,76.03
657,40.961,76.037
658,40.876,76.044
659,40.792,76.051
660,40.709,76.059
661,40.626,76.067
662,40.543,76.075
663,40.462,76.083
664,40.381,76.091
665,40.301,76.1
666,40.221,76.109
667,40.142,76.118
668,40.063,76.127
669,39.985,76.137
670,39.907,76.147
671,39.831,76.157
672,39.754,76.167
673,39.678,76.177
674,39.603,76.188
675,39.529,76.198
676,39.454,76.209
677,39.381,76.221
678,39.308,76.232
679,39.235,76.244
680,39.163,76.255
681,39.091,76.267
682,39.02,76.279
683,38.95,76.292
684,38.879,76.304
685,38.81,76.317
686,38.741,76.33
687,38.672,76.343
688,38.604,76.356
689,38.536,76.37
690,38.468,76.383
691,38.402,76.397
692,38.335,76.411
693,38.269,76.425
694,38.203,76.44
695,38.138,76.454
696,38.074,76.469
697,38.009,76.484
698,37.945,76.499
699,37.882,76.514
700,37.819,76.529
701,37.756,76.545
702,37.694,76.56
703,37.632,76.576
704,37.57,76.592
705,37.509,76.609
706,37.448,76.625
